datetime,blockchain,native,canonical,external,tvs,eth_price
2023-05-30,arbitrum,2200713851.625,4379616853.617547,388224151.0339081,6968554856.276455,1892.9017
2023-05-30,optimism,566143236.5,992332305.1977842,26012123.684059143,1584487665.381843,1892.9017
2023-05-30,starknet,0.0,59529426.84375,0.0,59529426.84375,1892.9017
2023-05-30,zksync,0.0,12.239999771118164,1521766.0390625,1521778.2790622711,1892.9017
2023-05-29,arbitrum,2241331625.75,4430820849.384827,403951411.0382843,7076103886.173111,1912.1045
2023-05-29,optimism,601077940.0,1002440904.1560036,26143586.1132946,1629662430.2692983,1912.1045
2023-05-29,starknet,0.0,60595349.25,0.0,60595349.25,1912.1045
2023-05-29,zksync,0.0,12.239999771118164,1522544.45703125,1522556.6970310211,1912.1045
2023-05-28,arbitrum,2113806728.0,4283440917.665136,382477129.349062,6779724775.014197,1830.3066
2023-05-28,optimism,579687736.0,973739618.493466,25405839.30420494,1578833193.797671,1830.3066
2023-05-28,starknet,0.0,58378127.59375,0.0,58378127.59375,1830.3066
2023-05-28,zksync,0.0,12.239999771118164,1496463.43359375,1496475.6735935211,1830.3066
2023-05-27,arbitrum,2093612486.875,4278760688.75875,378460629.3154743,6750833804.949224,1828.9565
2023-05-27,optimism,579923316.0,966025616.2976416,25030848.821569443,1570979781.119211,1828.9565
2023-05-27,starknet,0.0,57406990.5625,0.0,57406990.5625,1828.9565
2023-05-27,zksync,0.0,12.239999771118164,1494287.8046875,1494300.0446872711,1828.9565
2023-05-26,arbitrum,2005832450.0,4241389683.9143777,371792879.5260956,6619015013.440473,1805.8058
2023-05-26,optimism,582405464.0,951032697.2477297,24588794.54499054,1558026955.79272,1805.8058
2023-05-26,starknet,0.0,56013021.0,0.0,56013021.0,1805.8058
2023-05-26,zksync,0.0,12.229999542236328,1483254.328125,1483266.5581245422,1805.8058
2023-05-25,arbitrum,2023724507.25,4229149301.680552,363284947.3381324,6616158756.268684,1800.736
2023-05-25,optimism,575455536.0,956147604.8313582,24568257.03610611,1556171397.8674643,1800.736
2023-05-25,starknet,0.0,55567576.6875,0.0,55567576.6875,1800.736
2023-05-25,zksync,0.0,12.229999542236328,1484184.24609375,1484196.4760932922,1800.736
2023-05-24,arbitrum,2138166397.5,4338796013.3502655,377310451.2714019,6854272862.121668,1854.1246
2023-05-24,optimism,599090368.0,979545256.9279134,25045118.926246643,1603680743.85416,1854.1246
2023-05-24,starknet,0.0,55836240.953125,0.0,55836240.953125,1854.1246
2023-05-24,zksync,0.0,12.239999771118164,1511407.515625,1511419.7556247711,1854.1246
2023-05-23,arbitrum,2093794565.75,4276858917.841237,368342542.3439026,6738996025.93514,1818.2433
2023-05-23,optimism,585205840.0,976417556.3852428,24688710.61062622,1586312106.9958692,1818.2433
