date,avg_block_size,avg_block_gas_limit,avg_block_gas_used,target_blob_gas_per_block,max_blob_gas_per_block,target_blobs_per_block,max_blobs_per_block,gas_per_blob,blocks_count,total_blob_gas_used,total_blobs,avg_blobs_per_block,avg_blob_gas_used,avg_max_gas_utilization,avg_target_gas_utilization,avg_blob_gas_price,avg_blob_base_fee
2025-06-23 00:00:00.000 UTC,92943.06853146853,35992878,18168404,786432,1179648,6,9,131072,7150,3658219520,27910,3.9034965034965037,511639.09370629373,0.43372183372183637,0.6505827505827455,1,511639.09370629373
2025-06-22 00:00:00.000 UTC,89128.58482642777,35994936,18190121,786432,1179648,6,9,131072,7144,3626893312,27671,3.873320268756999,507683.83426651737,0.430368918750779,0.6455533781261595,1.0027995520716686,509573.5901455767
2025-06-21 00:00:00.000 UTC,86471.20925356443,35995890,18262356,786432,1179648,6,9,131072,7154,3654156288,27879,3.896980710092256,510785.0556332122,0.43299785667691604,0.6494967850153706,1.0006989097008667,511224.7715963097
2025-06-20 00:00:00.000 UTC,101076.82906700237,35995619,18184002,786432,1179648,6,9,131072,7149,3825205248,29184,4.082249265631557,535068.5757448594,0.45358325173683783,0.6803748776052608,1.1533081549867115,652279.8355014687
2025-06-19 00:00:00.000 UTC,97295.2001396648,35995573,18169587,786432,1179648,6,9,131072,7160,3523477504,26882,3.754469273743017,492105.7966480447,0.41716325263811554,0.625744878957163,1,492105.7966480447
2025-06-18 00:00:00.000 UTC,94211.02055081783,35996532,18155867,786432,1179648,6,9,131072,7153,3990224896,30443,4.255976513351041,557839.3535579477,0.4728862792612269,0.7093294188918424,1.0065706696490984,561980.5910806655
2025-06-17 00:00:00.000 UTC,94128.72447121446,35995166,18172067,786432,1179648,6,9,131072,7139,3879075840,29595,4.145538590839053,543364.0341784564,0.46061539898211584,0.6909230984731737,1,543364.0341784564
2025-06-16 00:00:00.000 UTC,95297.52596221134,35992339,18236795,786432,1179648,6,9,131072,7145,4071227392,31061,4.3472358292512245,569800.8946116165,0.4830262032501339,0.7245393048752058,1.0103568929321203,577138.7252624213
2025-06-15 00:00:00.000 UTC,83229.08632286996,35994154,18235023,786432,1179648,6,9,131072,7136,3567648768,27219,3.814321748878924,499950.7802690583,0.4238135276532174,0.6357202914798153,1,499950.7802690583
2025-06-14 00:00:00.000 UTC,85722.79955301019,35992419,18199828,786432,1179648,6,9,131072,7159,3900178432,29756,4.156446431065791,544793.7466126553,0.4618273812295343,0.6927410718442997,1,544793.7466126553
2025-06-13 00:00:00.000 UTC,93379.96994688286,35991430,18173624,786432,1179648,6,9,131072,7154,4019716096,30668,4.286832541235673,561883.7148448421,0.47631472680396136,0.7144720902059399,1.0239027117696393,578867.7439194856
2025-06-12 00:00:00.000 UTC,93340.57880776211,35992697,18176628,786432,1179648,6,9,131072,7163,4132569088,31529,4.4016473544604215,576932.7220438364,0.489071928273382,0.7336078924100752,1.1800921401647355,713366.1761831634
2025-06-11 00:00:00.000 UTC,92138.31366242483,35989533,18142514,786432,1179648,6,9,131072,7151,3953524736,30163,4.2180114669277025,552863.1989931478,0.4686679407697439,0.7030019111546166,1.0002796811634735,553028.1616557125
2025-06-10 00:00:00.000 UTC,94015.93180547791,35989427,18209195,786432,1179648,6,9,131072,7156,3996778496,30493,4.2611794298490775,558521.3102291783,0.47346438109434585,0.7101965716415181,1.0011179429849077,558905.9541643376
2025-06-09 00:00:00.000 UTC,98193.92568229532,35992062,18217892,786432,1179648,6,9,131072,7145,3713138688,28329,3.9648705388383485,519683.51126662,0.4405411709820397,0.6608117564730572,1,519683.51126662
2025-06-08 00:00:00.000 UTC,91987.59440950384,35990248,18206410,786432,1179648,6,9,131072,7155,3694002176,28183,3.9389238294898674,516282.6241788959,0.4376582032766495,0.656487304914975,1,516282.6241788959
2025-06-07 00:00:00.000 UTC,101938.81222951277,35989068,18178204,786432,1179648,6,9,131072,7163,3420848128,26099,3.64358509004607,477571.9849225185,0.4048427877828958,0.6072641816743377,1,477571.9849225185
2025-06-06 00:00:00.000 UTC,90560.29401063532,35988329,18184449,786432,1179648,6,9,131072,7146,3850108928,29374,4.110551357402743,538778.1875174923,0.4567279286002949,0.6850918929004511,1.0025188916876575,540153.8382311782
2025-06-05 00:00:00.000 UTC,91478.77991033903,35990433,18176563,786432,1179648,6,9,131072,7138,3822583808,29164,4.085738302045391,535525.8907256934,0.45397092244948783,0.6809563836742311,1.0032221910899413,537545.773045671
2025-06-04 00:00:00.000 UTC,93998.37120044824,35991268,18176526,786432,1179648,6,9,131072,7139,3741581312,28546,3.9985992435915394,524104.40005603025,0.4442888048435045,0.6664332072652552,1,524104.40005603025
2025-06-03 00:00:00.000 UTC,88665.21272727272,35989851,18160910,786432,1179648,6,9,131072,7150,3922460672,29926,4.1854545454545455,548595.8981818182,0.46505050505050277,0.697575757575754,1.0002797202797202,548595.8981818182
2025-06-02 00:00:00.000 UTC,95596.87305372422,35989040,18198925,786432,1179648,6,9,131072,7129,3317301248,25309,3.5501472857343246,465324.9050357694,0.39446080952603846,0.5916912142890423,1,465324.9050357694
2025-06-01 00:00:00.000 UTC,102712.59414811704,35992905,18188978,786432,1179648,6,9,131072,7143,3185836032,24306,3.402771944561109,446008.12431751366,0.3780857716178993,0.5671286574268388,1,446008.12431751366
2025-05-31 00:00:00.000 UTC,92255.17724350013,35990553,18182025,786432,1179648,6,9,131072,7154,3400138752,25941,3.626083310036343,475277.9916130836,0.40289814555959,0.6043472183393825,1,475277.9916130836
2025-05-30 00:00:00.000 UTC,92847.24895163545,35988605,18172141,786432,1179648,6,9,131072,7154,3948937216,30128,4.211350293542075,551990.1056751468,0.4679278103935614,0.7018917155903457,1.0023762929829465,553694.0050321498
2025-05-29 00:00:00.000 UTC,91506.66045925512,35988584,18178881,786432,1179648,6,9,131072,7142,3868327936,29513,4.132315877905349,541630.9067488099,0.459146208656145,0.6887193129842226,1.004060487258471,543796.4760571269
2025-05-28 00:00:00.000 UTC,89762.54059739166,35989695,18171293,786432,1179648,6,9,131072,7131,3992715264,30462,4.271771140092554,559909.5868742112,0.47464123778805956,0.7119618566820886,1.9221708035338663,1263022.3643247792
2025-05-27 00:00:00.000 UTC,88958.60025150202,35988380,18202144,786432,1179648,6,9,131072,7157,3542876160,27030,3.776722090261283,495022.51781472686,0.4196357878068116,0.6294536817102094,1,495022.51781472686
2025-05-26 00:00:00.000 UTC,89382.97421524664,35990713,18182046,786432,1179648,6,9,131072,7136,3625582592,27661,3.876261210762332,508069.3094170404,0.4306956900847024,0.6460435351270498,1,508069.3094170404
2025-05-25 00:00:00.000 UTC,84246.27003923767,35989032,18211439,786432,1179648,6,9,131072,7136,3571187712,27246,3.8181053811659194,500446.7085201794,0.42423393124065517,0.6363508968609813,1,500446.7085201794
2025-05-24 00:00:00.000 UTC,86746.36149642707,35990213,18187339,786432,1179648,6,9,131072,7137,3706585088,28279,3.9623090934566343,519347.77749754797,0.44025656593962303,0.6603848489094383,1,519347.77749754797
2025-05-23 00:00:00.000 UTC,90626.6780467329,35988376,18183471,786432,1179648,6,9,131072,7147,3738566656,28523,3.9909052749405345,523095.93619700574,0.4434339194378333,0.6651508791567522,1,523095.93619700574
2025-05-22 00:00:00.000 UTC,89384.11061390015,35987219,18147771,786432,1179648,6,9,131072,7151,3751280640,28620,4.002237449307789,524581.2669556706,0.4446930499230848,0.6670395748846297,1,524581.2669556706
2025-05-21 00:00:00.000 UTC,94044.24201680672,35985133,18210903,786432,1179648,6,9,131072,7140,3775660032,28806,4.034453781512605,528803.9260504202,0.4482726423902883,0.6724089635854319,1,528803.9260504202
2025-05-20 00:00:00.000 UTC,88638.54774926377,35985741,18161005,786432,1179648,6,9,131072,7131,3440640000,26250,3.6811106436684895,482490.53428691626,0.4090122937409434,0.6135184406114067,1,482490.53428691626
2025-05-19 00:00:00.000 UTC,90586.09758494805,35985207,18155878,786432,1179648,6,9,131072,7122,3266183168,24919,3.4988767200224657,458604.76944678463,0.38876408000249607,0.5831461200037344,1,458604.76944678463
2025-05-18 00:00:00.000 UTC,82929.82818641212,35984744,18256276,786432,1179648,6,9,131072,7124,3268935680,24940,3.5008422234699608,458862.3919146547,0.3889824692744429,0.5834737039116501,1,458862.3919146547
2025-05-17 00:00:00.000 UTC,89901.7640213124,35986248,18189199,786432,1179648,6,9,131072,7132,3166306304,24157,3.3871284352215367,443957.69826135726,0.37634760391350425,0.5645214058702478,1,443957.69826135726
2025-05-16 00:00:00.000 UTC,89325.48551336146,35985446,18149230,786432,1179648,6,9,131072,7110,3364225024,25667,3.609985935302391,473168.076511955,0.4011095483669311,0.6016643225503927,1,473168.076511955
2025-05-15 00:00:00.000 UTC,89625.27491215742,35986204,18160490,786432,1179648,6,9,131072,7115,3372875776,25733,3.616725228390724,474051.40913562896,0.40185835871008124,0.6027875380651143,1,474051.40913562896
2025-05-14 00:00:00.000 UTC,89362.33572635135,35984366,18151759,786432,1179648,6,9,131072,7104,3488743424,26617,3.7467623873873874,491095.63963963964,0.41630693193193025,0.6244603978978885,1,491095.63963963964
2025-05-13 00:00:00.000 UTC,89163.7596005064,35985431,18174482,786432,1179648,6,9,131072,7109,3550871552,27091,3.810803207202138,499489.59797439864,0.4234225785780131,0.6351338678670166,1,499489.59797439864
2025-05-12 00:00:00.000 UTC,89521.40445007745,35987600,18175056,786432,1179648,6,9,131072,7101,3646816256,27823,3.9181805379524013,513563.75947049714,0.4353533931058161,0.6530300896587317,1,513563.75947049714
2025-05-11 00:00:00.000 UTC,87087.69222112815,35987907,18148389,786432,1179648,6,9,131072,7109,3352952832,25581,3.5983963989309324,471649.0128006752,0.39982182210343425,0.5997327331551471,1,471649.0128006752
2025-05-10 00:00:00.000 UTC,89270.7757285654,35987530,18203767,786432,1179648,6,9,131072,7103,3292266496,25118,3.5362522877657327,463503.6598620301,0.39291692086285823,0.5893753812942804,1,463503.6598620301
2025-05-09 00:00:00.000 UTC,91872.90745973439,35987456,18182871,786432,1179648,6,9,131072,7078,3285057536,25063,3.540972025996044,464122.2853913535,0.39344133622178495,0.5901620043326692,1,464122.2853913535
2025-05-08 00:00:00.000 UTC,89946.310719323,35987021,18256571,786432,1179648,6,9,131072,7090,3224371200,24600,3.469675599435825,454777.32016925246,0.3855195110484221,0.5782792665726264,1,454777.32016925246
2025-05-07 00:00:00.000 UTC,83511.96518897414,35985296,18233731,786432,1179648,6,9,131072,7038,2868641792,21886,3.1096902529127592,407593.3208297812,0.4186006125477547,0.7375201288244745,345867709.6213413,131144625157007.39
2025-05-06 00:00:00.000 UTC,83166.97431218416,35980665,18251699,393216,786432,3,6,131072,7124,2812936192,21461,3.0124929814710835,394853.48006737785,0.5020821635785044,1.0041643271570089,2028577038.2661426,766075434517758.8
2025-05-05 00:00:00.000 UTC,82508.86222346681,35977288,18244302,393216,786432,3,6,131072,7142,2750939136,20988,2.938672640716886,385177.7003640437,0.48977877345280574,0.9795575469056115,1195920188.3230188,453059651473010
2025-05-04 00:00:00.000 UTC,74749.09350904248,35976623,18290692,393216,786432,3,6,131072,7133,2786197504,21257,2.9800925276882095,390606.687789149,0.49668208794802804,0.9933641758960561,716563925.2470208,271613389352354.2
2025-05-03 00:00:00.000 UTC,68899.0163659253,35976481,18324693,393216,786432,3,6,131072,7149,2859466752,21816,3.0516156105749057,399981.36130927404,0.5086026017624765,1.017205203524953,123843699.89774793,47067488409577.37
2025-05-02 00:00:00.000 UTC,84771.19179429534,35970913,18262747,393216,786432,3,6,131072,7117,2746220544,20952,2.943937052128706,385867.71729661373,0.4906561753547777,0.9813123507095554,3871261493.0404663,1468103176799683.8
2025-05-01 00:00:00.000 UTC,95013.17566241413,35973012,18246575,393216,786432,3,6,131072,7133,2796027904,21332,2.9906070377120426,391984.84564699285,0.4984345062853334,0.9968690125706668,14414331037.624142,5452200157724394
2025-04-30 00:00:00.000 UTC,93066.63894722106,35970951,18239007,393216,786432,3,6,131072,7143,2811232256,21448,3.002659946801064,393564.6445471091,0.5004433244668389,1.0008866489336778,8264397515.182837,3124211121229320
2025-04-29 00:00:00.000 UTC,93180.29390380313,35966196,18228014,393216,786432,3,6,131072,7152,2809397248,21434,2.996923937360179,392812.8143176734,0.4994873228933591,0.9989746457867182,5171366729.630733,1960448888659290
2025-04-28 00:00:00.000 UTC,95050.95167597766,35964386,18240814,393216,786432,3,6,131072,7160,2815426560,21480,3,393216,0.49999999999999567,0.9999999999999913,7075903086.629889,2679522486757314
2025-04-27 00:00:00.000 UTC,81474.03370473538,35960884,18308890,393216,786432,3,6,131072,7180,2876112896,21943,3.0561281337047355,400572.8267409471,0.5093546889507825,1.018709377901565,1656577606.511142,627107005851183.6
2025-04-26 00:00:00.000 UTC,94993.88060741154,35965156,18281625,393216,786432,3,6,131072,7178,2791702528,21299,2.9672610755084983,388924.8436890499,0.49454351258474555,0.9890870251694911,2132055128.6443298,807514175900010.4
2025-04-25 00:00:00.000 UTC,99373.99609647288,35961960,18218106,393216,786432,3,6,131072,7173,2829582336,21588,3.0096194061062316,394476.834797156,0.5016032343510362,1.0032064687020723,12209963964.115015,4618217613883439
2025-04-24 00:00:00.000 UTC,96266.30612244898,35957136,18244162,393216,786432,3,6,131072,7154,2835349504,21632,3.023762929829466,396330.65473860776,0.5039604883049126,1.0079209766098252,4047151086.4897957,1528844246245836.2
2025-04-23 00:00:00.000 UTC,122978.43285873813,35953370,18208411,393216,786432,3,6,131072,7164,2753953792,21011,2.93285873813512,384415.66052484646,0.4888097896891886,0.9776195793783772,33965900762.659687,12790332670747488
2025-04-22 00:00:00.000 UTC,94509.21294101242,35957708,18249191,393216,786432,3,6,131072,7171,2890137600,22050,3.074884953284061,403031.32059684844,0.5124808255473323,1.0249616510946646,21867251984.360897,8255017725968409
2025-04-21 00:00:00.000 UTC,80537.22140066964,35948697,18275903,393216,786432,3,6,131072,7168,2791309312,21296,2.970982142857143,389412.5714285714,0.49516369047618325,0.9903273809523665,1418486709.36649,536904157705526.9
2025-04-20 00:00:00.000 UTC,65435.834008662845,35960473,18348380,393216,786432,3,6,131072,7157,2697723904,20582,2.875785943831214,376935.0152298449,0.4792976573051942,0.9585953146103884,6024.918820734945,2281008619.182339
2025-04-19 00:00:00.000 UTC,70461.73545416493,35951609,18331487,393216,786432,3,6,131072,7167,2689597440,20520,2.863122645458351,375275.211385517,0.4771871075763841,0.9543742151527682,110213641.88656342,41579779716040.7
2025-04-18 00:00:00.000 UTC,92524.78504672897,35957064,18265082,393216,786432,3,6,131072,7169,2815950848,21484,2.9967917422234622,392795.48723671364,0.49946529037057724,0.9989305807411545,10566477468.54652,4004701999686643.5
2025-04-17 00:00:00.000 UTC,104414.53693618209,35951034,18259738,393216,786432,3,6,131072,7161,2840068096,21668,3.0258343806730905,396602.1639435833,0.50430573011218,1.00861146022436,20479008422.415306,7754773208002112
2025-04-16 00:00:00.000 UTC,87881.91660856227,35959104,18278639,393216,786432,3,6,131072,7171,2840592384,21672,3.0221726397991913,396122.2122437596,0.5036954399665257,1.0073908799330513,6722716243.12188,2539510297074657.5
2025-04-15 00:00:00.000 UTC,84051.63090248672,35951805,18239930,393216,786432,3,6,131072,7158,2778464256,21198,2.961441743503772,388162.0922045264,0.4935736239172867,0.9871472478345734,2990162682.743364,1128992664311702.2
2025-04-14 00:00:00.000 UTC,84065.73409598214,35955702,18246447,393216,786432,3,6,131072,7168,2875719680,21940,3.060825892857143,401188.5714285714,0.5101376488095155,1.020275297619031,1100339835.4762836,415575276333897.1
2025-04-13 00:00:00.000 UTC,74241.32678372352,35954267,18291261,393216,786432,3,6,131072,7176,2734030848,20859,2.906772575250836,380996.4949832776,0.48446209587513145,0.9689241917502629,55.939241917502784,21067339.915273134
2025-04-12 00:00:00.000 UTC,78944.78013097394,35956668,18231402,393216,786432,3,6,131072,7177,2780954624,21217,2.956249129162603,387481.4858576007,0.4927081881937595,0.985416376387519,2386732444.945799,902902219882630.8
2025-04-11 00:00:00.000 UTC,84962.11552396878,35954068,18196683,393216,786432,3,6,131072,7176,2847539200,21725,3.027452619843924,396814.2697881828,0.5045754366406456,1.0091508732812913,2150624141.996516,810764986356986
2025-04-10 00:00:00.000 UTC,87902.5440992058,35958341,18210442,393216,786432,3,6,131072,7177,2790785024,21292,2.966699177929497,388851.19464957505,0.49444986298824195,0.9888997259764839,7240881696.666992,2724728605676569.5
2025-04-09 00:00:00.000 UTC,93151.58892453619,35953934,18226341,393216,786432,3,6,131072,7169,2823028736,21538,3.004324173524899,393782.77807225555,0.5007206955874757,1.0014413911749513,1128620679.736086,424336042611530.75
2025-04-08 00:00:00.000 UTC,89117.1782675408,35955547,18201723,393216,786432,3,6,131072,7169,2816868352,21491,2.997768168503278,392923.4693820617,0.4996280280838702,0.9992560561677404,3806602944.219417,1432902734334991.5
2025-04-07 00:00:00.000 UTC,95275.30573426574,35957903,18187024,393216,786432,3,6,131072,7150,2765619200,21100,2.9510489510489513,386799.88811188814,0.49184149184149173,0.9836829836829835,7546555319.562378,2831188361281792.5
2025-04-06 00:00:00.000 UTC,81732.89965059399,35953107,18322522,393216,786432,3,6,131072,7155,2681602048,20459,2.8593990216631724,374787.14856743533,0.47656650361051733,0.9531330072210347,2368470933.6867924,892132283685337.8
2025-04-05 00:00:00.000 UTC,65555.06782268215,35954266,18295920,393216,786432,3,6,131072,7151,2519072768,19219,2.687596140399944,352268.6013145015,0.44793269006664943,0.8958653801332989,36094.95287372395,13713240874.493637
2025-04-04 00:00:00.000 UTC,80511.59375435661,35959727,18243956,393216,786432,3,6,131072,7173,2652635136,20238,2.821413634462568,369808.3278962777,0.4702356057437508,0.9404712114875016,1271110.7833542451,479909445823.86615
